X (m),Y (m),VX (m/s),VY (m/s),M (kg)
-714073294.6534952,-791508146.6867939,754.044838026123,-229.2913752745158,7.963107329999999e+21
52203118553.03314,-22080247482.80561,521838.22128896764,2843278.8233821,1321951903800000.0
-12308191150.60806,-108868447416.3899,2075908.8096599956,-232494.72472049587,1.949229315e+16
-93463041319.72046,-120128727769.60971,1382402.2653775457,-1103319.5224390847,2.3916953592e+16
-93692526403.1636,-120460900659.6353,1431117.8358040734,-1135634.5520946104,294016263599999.94
-243511991836.2688,52757917560.724304,-258025.08937163575,-1295622.9804736883,2569779031800000.0
7524924043.986979,766239602518.0806,-792847.8543321156,45050.54229702608,7.601493756e+18
7608904347.821526,766651301610.9338,-1814546.920260731,256741.43376191173,357685081019999.94
7892816250.897589,766807248702.7449,-1480144.7556341514,487437.75523013575,192211830839999.97
6736093886.512248,766966130261.1777,-1234974.2561459178,-432931.30906670395,593438710200000.0
7080871693.58179,768069476520.6943,-1271874.280049433,-67302.17166843312,430852762199999.94
1424526634558.748,-155998141133.5355,31027.732212382623,574939.5286644726,2.2759629972e+18
1595150229232.406,2446606849745.856,-345279.44322222436,204110.04635348142,3.476375898e+17
4469600768360.281,-33258988058.58069,250.2006541595623,328064.79119824304,4.1012105154e+17
